Date,Open,High,Low,Close,Volume
2023-02-17,17859.1,18134.75,17719.75,17944.2,1143360000.0
2023-02-24,17965.55,18004.35,17421.8,17465.8,1027050000.0
2023-03-03,17428.6,17644.75,17255.2,17594.35,1607050000.0
2023-03-10,17680.35,17799.95,17324.35,17412.9,1128120000.0
2023-03-17,17421.9,17529.9,16850.15,17100.05,1551640000.0
2023-03-24,17066.6,17207.25,16828.35,16945.05,935730000.0
2023-03-31,16984.3,17381.6,16913.75,17359.75,1067060000.0
2023-04-07,17427.95,17638.7,17312.75,17599.15,721230000.0
2023-04-14,17634.9,17842.15,17597.95,17828.0,1077660000.0
2023-04-21,17863.0,17863.0,17553.95,17624.05,1342980000.0
2023-04-28,17707.55,18089.15,17612.5,18065.0,1317890000.0
2023-05-05,18124.8,18267.45,18042.4,18069.0,957730000.0
2023-05-12,18120.6,18389.7,18100.3,18314.8,1184850000.0
2023-05-19,18339.3,18458.9,18060.4,18203.4,1198480000.0
2023-05-26,18201.1,18508.55,18178.85,18499.35,1200120000.0
2023-06-02,18619.15,18662.45,18464.55,18534.1,1732760000.0
2023-06-09,18612.0,18777.9,18531.6,18563.4,1245240000.0
2023-06-16,18595.05,18864.7,18559.75,18826.0,1209750000.0
2023-06-23,18873.3,18886.6,18647.1,18665.5,1112210000.0
2023-06-30,18682.35,19201.7,18646.7,19189.05,1040420000.0
2023-07-07,19246.5,19523.6,19234.4,19331.8,1182750000.0
2023-07-14,19400.35,19595.35,19327.1,19564.5,1449060000.0
2023-07-21,19612.15,19991.85,19562.95,19745.0,1401880000.0
2023-07-28,19748.45,19867.55,19563.1,19646.05,1473520000.0
2023-08-04,19666.35,19795.6,19296.45,19517.0,1480260000.0
2023-08-11,19576.85,19645.5,19412.75,19428.3,1291090000.0
2023-08-18,19383.95,19482.75,19253.6,19310.15,995280000.0
2023-08-25,19320.65,19584.45,19229.7,19265.8,1431290000.0
2023-09-01,19298.35,19458.55,19223.65,19435.3,1684150000.0
2023-09-08,19525.05,19867.15,19432.85,19819.95,1434230000.0
2023-09-15,19890.0,20222.45,19865.35,20192.35,1541510000.0
2023-09-22,20155.95,20195.35,19657.5,19674.25,1164480000.0
2023-09-29,19678.2,19766.65,19492.1,19638.3,1193150000.0
2023-10-06,19622.4,19675.75,19333.6,19653.5,892790000.0
2023-10-13,19539.45,19843.3,19480.5,19751.05,1068240000.0
2023-10-20,19737.25,19849.75,19512.35,19542.65,994400000.0
2023-10-27,19521.6,19556.85,18837.85,19047.25,906890000.0
2023-11-03,19053.4,19276.25,18940.0,19230.6,1015400000.0
2023-11-10,19345.85,19464.4,19309.7,19425.35,934960000.0
2023-11-17,19547.25,19875.25,19414.75,19731.8,1037570000.0
2023-11-24,19731.15,19875.15,19670.5,19794.7,869170000.0
2023-12-01,19844.65,20291.55,19800.0,20267.9,1218240000.0
2023-12-08,20601.95,21006.1,20507.75,20969.4,1728760000.0
2023-12-15,20965.3,21492.3,20769.5,21456.65,1561230000.0
2023-12-22,21434.8,21593.0,20976.8,21349.4,1425570000.0
2023-12-29,21365.2,21801.45,21329.45,21731.4,1140010000.0
2024-01-05,21727.75,21834.35,21500.35,21710.8,1378110000.0
2024-01-12,21747.6,21928.25,21448.65,21894.55,1184140000.0
2024-01-19,22053.15,22124.15,21285.55,21622.4,1824370000.0
2024-01-26,21706.15,21750.25,21137.2,21352.6,1275320000.0
2024-02-02,21433.1,22126.8,21429.6,21853.8,1937750000.0
2024-02-09,21921.05,22053.3,21629.9,21782.5,1998370000.0
2024-02-16,21800.8,22068.65,21530.2,22040.7,1701630000.0
2024-02-23,22103.45,22297.5,21875.25,22212.7,1229740000.0
2024-03-01,22169.2,22353.3,21860.65,22338.75,1374600000.0
2024-03-08,22406.95,22525.65,22224.35,22493.55,1322830000.0
2024-03-15,22517.5,22526.6,21905.65,22023.35,2158640000.0
2024-03-22,21990.1,22180.7,21710.2,22096.75,1754720000.0
2024-03-29,21947.9,22516.0,21947.55,22326.9,1148070000.0
2024-04-05,22455.0,22619.0,22303.8,22513.7,1486040000.0
2024-04-12,22578.35,22775.7,22503.75,22519.4,1094030000.0
2024-04-19,22339.05,22427.45,21777.65,22147.0,1492180000.0
2024-04-26,22336.9,22625.95,22198.15,22419.95,1551610000.0
2024-05-03,22475.55,22794.7,22348.05,22475.85,1537790000.0
2024-05-10,22561.6,22588.8,21932.4,22055.2,1492650000.0
2024-05-17,22027.95,22502.15,21821.05,22466.1,1351970000.0
2024-05-24,22512.85,23026.4,22404.55,22957.1,1288700000.0
2024-05-31,23038.95,23110.8,22417.0,22530.7,1693320000.0
2024-06-07,23337.9,23338.7,21281.45,23290.15,3171880000.0
2024-06-14,23319.15,23490.4,23206.65,23465.6,1396580000.0
2024-06-21,23570.8,23667.1,23398.2,23501.1,1491240000.0
2024-06-28,23382.3,24174.0,23350.0,24010.6,1695300000.0
2024-07-05,23992.95,24401.0,23992.7,24323.85,1390870000.0
2024-07-12,24329.45,24592.2,24141.8,24502.15,1441320000.0
2024-07-19,24587.6,24854.8,24504.45,24530.9,1283300000.0
2024-07-26,24445.75,24861.15,24074.2,24834.85,1902870000.0
2024-08-02,24943.3,25078.3,24686.85,24717.7,1849950000.0
2024-08-09,24302.85,24419.75,23893.7,24367.5,1643900000.0
2024-08-16,24320.05,24563.9,24099.7,24541.15,1094520000.0
2024-08-23,24636.35,24867.35,24522.95,24823.15,1166230000.0
2024-08-30,24906.1,25268.35,24874.7,25235.9,1646200000.0
2024-09-06,25333.6,25333.65,24801.3,24852.15,1222650000.0
2024-09-13,24823.4,25433.35,24753.15,25356.5,1415720000.0
2024-09-20,25406.65,25849.25,25285.55,25790.95,1447910000.0
2024-09-27,25872.55,26277.35,25847.35,26178.95,1733080000.0
2024-10-04,26061.3,26134.7,24966.8,25014.6,1388790000.0
2024-10-11,25084.1,25234.05,24694.35,24964.25,1469950000.0
2024-10-18,25023.45,25212.05,24567.65,24854.05,1234040000.0
2024-10-25,24956.15,24978.3,24073.9,24180.8,1395350000.0
2024-11-01,24251.1,24498.2,24134.9,24304.35,1221620000.0
2024-11-08,24315.75,24537.6,23816.15,24148.2,1547040000.0
2024-11-15,24087.25,24336.8,23484.15,23532.7,1091480000.0
2024-11-22,23605.3,23956.1,23263.15,23907.25,1348680000.0
2024-11-29,24253.55,24354.55,23873.35,24131.1,1861720000.0
2024-12-06,24140.85,24857.75,24008.65,24677.8,1496050000.0
2024-12-13,24633.9,24792.3,24180.8,24768.3,1272570000.0
